company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title,phone,email,website
GreenPower Pest Control,Dallas,TX,Dallas,Pest Control,10,$500K-$2M,Owner,Owner,(214) 234-9210,Service@greenpowerpest.com,greenpowerpest.com
Addison Pest Control of Texas,Dallas,TX,Dallas,Pest Control,12,$500K-$2M,Owner,Owner,(972) 233-4766,,addisonexterminating.com
All-Safe Pest & Termite,Dallas,TX,Dallas,Pest Control,15,$500K-$2M,Owner,Owner,(972) 945-9226,,all-safe-pest.com
Dynasty Pest Control,Dallas,TX,Dallas,Pest Control,8,$500K-$2M,Owner,Owner,(469) 457-4373,,dynastypest.com
CLW Landscape,Houston,TX,Houston,Landscaping,10,$500K-$2M,Owner,Owner,(832) 244-5446,info@clwlandscape.com,clwlandscape.com
Absolute Lawn Care and Landscaping,Houston,TX,Houston,Landscaping,12,$500K-$2M,Owner,Owner,(281) 713-4600,office@absolute-landscape.com,absolute-landscape.com
Hogue Landscape Services,Houston,TX,Houston,Landscaping,10,$500K-$2M,Owner,Owner,(713) 360-6924,,hoguels.com
Moss Landscaping,Houston,TX,Houston,Landscaping,15,$500K-$2M,Owner,Owner,(713) 861-5511,,mosslandscaping.com
Houston Landscape Pros,Houston,TX,Houston,Landscaping,8,$500K-$2M,Owner,Owner,(713) 396-3320,sales@houstonlandscapepros.com,houstonlandscapepros.com
SWP Landscaping,Houston,TX,Houston,Landscaping,10,$500K-$2M,Owner,Owner,(713) 661-8887,information@swplandscaping.com,swplandscaping.com
Fernandez Landscapes,Houston,TX,Houston,Landscaping,8,$500K-$2M,Owner,Owner,(713) 597-0907,contact@fernandezlandscapes.com,fernandezlandscapes.com
Georgia Facility Services,Atlanta,GA,Atlanta,Commercial Cleaning,12,$500K-$2M,Owner,Owner,(770) 710-3424,info@usafacility.com,commercial-cleaning-atlanta.com
SmartDog Commercial Cleaning,Atlanta,GA,Atlanta,Commercial Cleaning,10,$500K-$2M,Yasuo Shoji,CEO,(770) 667-8736,info@smartdogcleaning.com,atlantaofficecleaningservices.com
Integrity Janitorial Cleaning,Atlanta,GA,Atlanta,Commercial Cleaning,15,$500K-$2M,Owner,Owner,(404) 530-0811,customer.service@integrityjan.com,integrityjanitorialcleaning.com
Cleanstar National,Atlanta,GA,Atlanta,Commercial Cleaning,18,$500K-$2M,Owner,Owner,(770) 425-6797,,cleanstarnational.com
Jenkins Restorations,Charlotte,NC,Charlotte,Restoration,15,$1M-$3M,Owner,Owner,(704) 847-7475,info@jenkinsrestorations.com,jenkinsrestorations.com
ATI Restoration Charlotte,Charlotte,NC,Charlotte,Restoration,12,$1M-$3M,Owner,Owner,(980) 443-5500,,atirestoration.com
STOP Restoration Charlotte,Charlotte,NC,Charlotte,Restoration,10,$1M-$3M,Owner,Owner,(704) 312-1121,jalexander@stoprestoration.com,stoprestoration.com/charlotte-north/
RestoPros of Charlotte,Charlotte,NC,Charlotte,Restoration,8,$1M-$3M,Owner,Owner,(803) 850-6100,erinfarrell@restopros.co,restopros.co/nc-charlotte
United Water Restoration Charlotte,Charlotte,NC,Charlotte,Restoration,10,$1M-$3M,Owner,Owner,(704) 396-5381,sales@unitedwaterrestoration.com,uwrcharlotte.com
Providence Restoration Group,Charlotte,NC,Charlotte,Restoration,12,$1M-$3M,Owner,Owner,(704) 206-8777,,prghelps.com
Reiner Group Inc,Fair Lawn,NJ,Northern New Jersey,HVAC Contractor,12,$1M-$5M,Owner,Owner,(201) 371-7980,,reinerac.com
Whalen & Ives Inc,Northern NJ,NJ,Northern New Jersey,HVAC Contractor,10,$1M-$5M,Owner,Owner,(201) 784-3330,,whalenives.com
Prestige Air Heating & Cooling,Bergen County,NJ,Northern New Jersey,HVAC Contractor,8,$1M-$5M,Owner,Owner,(973) 755-2210,,prestigeairheatingcooling.com
Vanguard Service NJ,Union County,NJ,Northern New Jersey,HVAC Contractor,8,$1M-$5M,Owner,Owner,(908) 577-5579,vanguardservicenj@yahoo.com,vanguardservicenj.com
Unitemp MDI,Northern NJ,NJ,Northern New Jersey,HVAC Contractor,15,$1M-$5M,Owner,Owner,(877) 704-4822,,unitempinc.com
Bay Area Plumbing Inc,Tampa,FL,Tampa,Plumbing Contractor,10,$800K-$3M,Owner,Owner,(813) 620-0044,info@bayareaplumbinginc.com,bayareaplumbinginc.com
The Clean Plumbers,Tampa,FL,Tampa,Plumbing Contractor,12,$800K-$3M,Owner,Owner,(813) 961-2683,,thecleanplumbers.com
Experts Plumbing Services,Tampa,FL,Tampa,Plumbing Contractor,8,$800K-$3M,Owner,Owner,(813) 363-9726,,expertsplumbingservices.com
Believe Plumbing,Tampa,FL,Tampa,Plumbing Contractor,8,$800K-$3M,Owner,Owner,(813) 516-4486,,believeplumbing.com
McNatt Plumbing,Tampa,FL,Tampa,Plumbing Contractor,10,$800K-$3M,Owner,Owner,(813) 971-6100,info@mcnattplumbing.com,mcnattplumbing.com
RENCO Roofing,Phoenix,AZ,Phoenix,Roofing Contractor,12,$1M-$5M,Owner,Owner,(602) 867-9386,admin@rencoroofing.com,rencoroofing.com
Phoenix Roofing and Repair,Phoenix,AZ,Phoenix,Roofing Contractor,10,$1M-$5M,Owner,Owner,(602) 497-0154,,phoenixroofingandrepair.com
Allstate Roofing Inc,Phoenix,AZ,Phoenix,Roofing Contractor,12,$1M-$5M,Chad Thomas,Owner,(602) 484-7663,info@allstateroofingaz.com,allstateroofingaz.com
Scott Roofing Company,Phoenix,AZ,Phoenix,Roofing Contractor,18,$1M-$5M,Owner,Owner,(602) 442-7663,,scottroofingco.com
Right Way Roofing,Phoenix,AZ,Phoenix,Roofing Contractor,10,$1M-$5M,Owner,Owner,(602) 299-8851,,azroof.com
Rowland Pest Management,Orlando,FL,Orlando,Pest Control,8,$500K-$2M,Owner,Owner,(407) 969-6162,,rowlandpest.com
All American Pest Control,Orlando,FL,Orlando,Pest Control,10,$500K-$2M,Owner,Owner,(321) 559-7378,Office@PestControlinOrlandoFL.com,pestcontrolinorlandofl.com
Florida Pest Control Orlando,Orlando,FL,Orlando,Pest Control,12,$500K-$2M,Owner,Owner,(407) 759-5947,,flapest.com
Turner Pest Control Orlando,Orlando,FL,Orlando,Pest Control,15,$500K-$2M,Owner,Owner,(800) 225-5305,,turnerpest.com
Massey Services,Winter Park,FL,Orlando,Pest Control,18,$500K-$2M,Owner,Owner,(407) 898-5880,,masseyservices.com
Mile High Landscaping,Denver,CO,Denver,Landscaping,10,$500K-$2M,Owner,Owner,(303) 595-0404,info@milehighlandscaping.com,milehighlandscaping.com
Down to Earth Landscaping,Highlands Ranch,CO,Denver,Landscaping,8,$500K-$2M,Owner,Owner,(720) 648-9631,office@downtoearthlandscaping.com,downtoearthlandscaping.com
Colorado Landscape Denver,Denver,CO,Denver,Landscaping,10,$500K-$2M,Owner,Owner,(720) 519-9070,info@coloradolandscapedenver.com,coloradolandscapedenver.com
Denver Sprinkler and Landscape Inc,Denver,CO,Denver,Landscaping,8,$500K-$2M,Owner,Owner,(303) 993-8717,,denversprinklerservices.com
My Sons Landscaping & Fencing,Denver,CO,Denver,Landscaping,8,$500K-$2M,Owner,Owner,(720) 949-8439,,mysonslandscape.com
G2.0 Electrical Contracting,Los Angeles,CA,Los Angeles,Electrical Contractor,10,$1M-$4M,Owner,Owner,,,gec2.com
Tercero Inc,Los Angeles,CA,Los Angeles,Electrical Contractor,12,$1M-$4M,Owner,Owner,,,terceroinc.com
Bozem Electric,Los Angeles,CA,Los Angeles,Electrical Contractor,15,$1M-$4M,Owner,Owner,,,bozemelectric.com
AMTEK Construction,Los Angeles,CA,Los Angeles,Electrical Contractor,12,$1M-$4M,Owner,Owner,(562) 414-6852,info@amtekconstruction.com,amtekconstruction.com
Champion Cleaning,Boston,MA,Boston,Commercial Cleaning,12,$500K-$2M,Owner,Owner,(800) 979-1911,,championcleaning.com
