company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title,phone,email,website
Coates Design Architects,Seattle,WA,Seattle,Architecture,8,$1M-$3M,Matthew Coates,Owner/Principal Architect,N/A,N/A,coatesdesign.com
Weaver Architects,Seattle,WA,Seattle,Architecture,10,$1M-$3M,Hank Weaver,Owner/Founder,N/A,N/A,weaverarch.com
McClellan Tellone,Seattle,WA,Seattle,Architecture,8,$1M-$3M,Regan McClellan,Co-Founder,N/A,N/A,mcclellan-tellone.com
BuildingWork,Seattle,WA,Seattle,Architecture,6,$1M-$2M,N/A,Principal,N/A,N/A,buildingwork.design
Best Practice Architecture,Seattle,WA,Seattle,Architecture,8,$1M-$3M,N/A,Principal,N/A,N/A,bestpracticearchitecture.com
Matt Fajkus Architecture,Austin,TX,Austin,Architecture,10,$1M-$3M,Matt Fajkus,Owner/Principal,N/A,N/A,mfarchitecture.com
Restructure Studio,Austin,TX,Austin,Architecture,5,$500K-$1.5M,N/A,Owner,N/A,N/A,N/A
Winn Wittman Architecture,Austin,TX,Austin,Architecture,6,$1M-$2M,Winn Wittman,Founder/Principal,N/A,N/A,winnwittman.com
Atlantis Architects,Austin,TX,Austin,Architecture,5,$500K-$1.5M,Derek,Founder,N/A,N/A,atlantisarchitects.com
SSA Architecture,Las Vegas,NV,Las Vegas,Architecture,8,$1M-$3M,Ken Small Jr.,Founder/Principal,N/A,N/A,smallstudioassociates.com
KME Architects,Las Vegas,NV,Las Vegas,Architecture,10,$1M-$3M,N/A,Principal,N/A,N/A,kmearchitects.com
PSWC Architects,Las Vegas,NV,Las Vegas,Architecture,6,$1M-$2M,N/A,Principal,N/A,N/A,pswcarchitects.com
Blue Heron,Las Vegas,NV,Las Vegas,Architecture,15,$5M-$10M,Tyler Jones,Co-Founder,N/A,N/A,blueheron.com
Mary Ann Chambliss Architect,Jacksonville,FL,Jacksonville,Architecture,5,$500K-$1.5M,Mary Ann Chambliss,Owner/Principal,N/A,N/A,mac-architect.com
ZINN Architecture,Jacksonville,FL,Jacksonville,Architecture,6,$1M-$2M,Kassia Zinn,Co-Founder,N/A,N/A,zinn.ai
Dig Architecture,Jacksonville,FL,Jacksonville,Architecture,5,$500K-$1.5M,Nicholas Renard,Owner/Principal,N/A,N/A,N/A
Jaycox Architects,Jacksonville,FL,Jacksonville,Architecture,8,$1M-$3M,N/A,Principal,N/A,N/A,jaycoxarchitects.com
Brach Design Architecture,Salt Lake City,UT,Salt Lake City,Architecture,6,$1M-$2M,N/A,Principal,N/A,N/A,brachdesign.com
Sparano Mooney Architecture,Salt Lake City,UT,Salt Lake City,Architecture,12,$2M-$5M,John Sparano,Co-Founder,N/A,N/A,sparanomooney.com
AYS Engineering,Austin,TX,Austin,Engineering,8,$1M-$3M,N/A,Principal,N/A,N/A,ayseng.com
Tsen Engineering,Austin,TX,Austin,Engineering,10,$1M-$3M,Stephanie Tsen,Founder,N/A,N/A,tseneng.com
Bay & Associates,Austin,TX,Austin,Engineering,8,$1M-$3M,Ed Bay,Principal/Founder,N/A,N/A,baymep.com
Alpha & Omega Group,Raleigh,NC,Raleigh,Engineering,10,$1M-$3M,N/A,Principal,N/A,N/A,aogroup.com
Wetherill Engineering,Raleigh,NC,Raleigh,Engineering,8,$1M-$3M,N/A,Owner,N/A,N/A,wetherilleng.com
Horn Consulting Engineers,Portland,OR,Portland,Engineering,6,$500K-$1.5M,David Horn,Owner/Principal,N/A,N/A,hornce.com
MKE & Associates,Portland,OR,Portland,Engineering,18,$3M-$5M,N/A,Principal,N/A,N/A,mke-inc.com
Mendez Engineering,San Antonio,TX,San Antonio,Engineering,8,$1M-$3M,Ray Mendez,President/Founder,N/A,N/A,mendezengineering.com
Givler Engineering,San Antonio,TX,San Antonio,Engineering,8,$1M-$3M,N/A,Owner,N/A,N/A,givlerengineering.com
Datum Rios LLC,San Antonio,TX,San Antonio,Engineering,8,$1M-$3M,N/A,Principal,N/A,N/A,datumrios.com
Wright Engineers,Las Vegas,NV,Las Vegas,Engineering,12,$2M-$5M,N/A,Owner,N/A,N/A,wrightengineers.com
