company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title,phone,email,website
St. Louis Building & Remodeling Company,Pacific,MO,St. Louis MO,Remodeling Contractors,8,$1M-$3M,Bryan McKinney,Owner,(636) 999-7663,bryan@stlbrc.com,https://stlbrcllc.com
Agape Construction,Kirkwood,MO,St. Louis MO,Remodeling Contractors,10,$1M-$3M,N/A,Owner,(314) 798-7709,N/A,https://agapeconstruction.com
ST Evans Inc,St. Louis,MO,St. Louis MO,General Contractors,12,$2M-$5M,N/A,Owner,N/A,N/A,https://www.remodelingstlouismo.com
Mizzell Remodeling Co,St. Louis,MO,St. Louis MO,Remodeling Contractors,8,$1M-$3M,N/A,Owner,N/A,N/A,https://mizzellremodeling.com
Carrigan Construction,St. Louis,MO,St. Louis MO,Remodeling Contractors,10,$1M-$3M,N/A,Owner,N/A,N/A,https://www.carriganconstruction.co
P2 Contracting LLC,Pittsburgh,PA,Pittsburgh PA,General Contractors,15,$3M-$7M,N/A,Owner,N/A,N/A,https://www.p2gc.com
Ramsey Construction Inc,Pittsburgh,PA,Pittsburgh PA,General Contractors,12,$2M-$5M,N/A,Owner,(412) 384-3030,info@ramseyconstructioninc.com,https://www.ramseyconstructioninc.com
KBJ Contracting LLC,Pittsburgh,PA,Pittsburgh PA,General Contractors,10,$1M-$3M,N/A,Owner,N/A,N/A,https://www.kbjcontracting.biz
A Better Solution In Home Care,Brighton,MI,Detroit MI,Home Health Agencies,15,$1M-$3M,Lia Smith,Owner,N/A,detroitmetro@absihc.com,https://www.absihc.com
Rite Choice Home Health Care,Canton,MI,Detroit MI,Home Health Agencies,12,$1M-$3M,N/A,Owner,(734) 981-1818,N/A,https://ritechoicehomehealthcare.com
Precise Home Health Care Services,Detroit,MI,Detroit MI,Home Health Agencies,10,$1M-$2M,N/A,Owner,(888) 636-8773,N/A,http://precisehomehealthcareservices.com
NOLA Digital Marketing & SEO LLC,New Orleans,LA,New Orleans LA,Digital Marketing Agencies,6,$500K-$1M,N/A,Owner,N/A,N/A,https://noladigitalmarketingandseo.com
Design the Planet,New Orleans,LA,New Orleans LA,Digital Marketing Agencies,8,$500K-$2M,N/A,Owner,N/A,N/A,https://designtheplanet.com
Deep Fried Advertising,New Orleans,LA,New Orleans LA,Digital Marketing Agencies,12,$1M-$3M,N/A,Owner,N/A,N/A,https://deepfried.com
Velocity Agency,New Orleans,LA,New Orleans LA,Digital Marketing Agencies,10,$1M-$3M,N/A,Owner,N/A,N/A,https://velocityagency.com
Brewer's Body Shop LLC,Memphis,TN,Memphis TN,Collision Repair,10,$1M-$3M,Curtis,Owner,(901) 278-4461,curtis@brewersbodyshop.com,https://www.brewersbodyshop.com
Mattei's Garage,Memphis,TN,Memphis TN,Auto Repair Shops,8,$500K-$1.5M,Larry Cervetti,Owner,(901) 683-3158,N/A,https://matteisgarage.com
Madison Automotive LLC,Memphis,TN,Memphis TN,Auto Repair Shops,8,$500K-$1.5M,N/A,Owner,(901) 386-9600,N/A,https://www.madisonautomotive.com
Memphis Auto Repair Service Inc,Memphis,TN,Memphis TN,Auto Repair Shops,6,$500K-$1M,N/A,Owner,(901) 327-0096,N/A,https://www.memphisautorepairserviceinc.com
Midtown Autowerks,Memphis,TN,Memphis TN,Auto Repair Shops,8,$500K-$1.5M,N/A,Owner,N/A,N/A,https://midtownautowerks.com
Louisville Chiropractic,Louisville,KY,Louisville KY,Chiropractic Clinics,8,$500K-$1.5M,N/A,Owner,(502) 489-8480,N/A,https://www.louisvillechiropractic.com
Germantown Chiropractic,Louisville,KY,Louisville KY,Chiropractic Clinics,6,$500K-$1M,N/A,Owner,(502) 637-7754,N/A,https://germantownchiro.com
Anderson Chiropractic & Rehab PLLC,Louisville,KY,Louisville KY,Chiropractic Clinics,6,$500K-$1M,N/A,Owner,(502) 365-2569,N/A,https://www.andersonchiropracticrehab.com
Wolter Chiropractic & Wellness,Louisville,KY,Louisville KY,Chiropractic Clinics,6,$500K-$1M,N/A,Owner,(502) 493-2400,N/A,https://www.wolterchiropractic.com
Lowe Chiropractic & Wellness,Louisville,KY,Louisville KY,Chiropractic Clinics,6,$500K-$1M,Dr. Patrick Lowe,Owner,N/A,N/A,https://www.lowechiro.com
Louisville Family Chiropractic LLC,Louisville,KY,Louisville KY,Chiropractic Clinics,6,$500K-$1M,Dr. Leah J Wright DC,Owner,(502) 326-9950,N/A,N/A
Westport Chiropractic & Rehab,Louisville,KY,Louisville KY,Chiropractic Clinics,6,$500K-$1M,N/A,Owner,(502) 326-5000,N/A,https://westportchiroandrehab.com
Brown Cleaning Services LLC,Birmingham,AL,Birmingham AL,Commercial Cleaning,8,$500K-$1.5M,N/A,Owner,(205) 844-1222,N/A,https://www.browncleaningllc.com
CDI Janitorial Services,Birmingham,AL,Birmingham AL,Commercial Cleaning,10,$500K-$2M,N/A,Owner,N/A,N/A,https://cdibirmingham.com
Deep South Freight,Birmingham,AL,Birmingham AL,Freight Brokerages / Trucking,15,$3M-$7M,Edmund Doss,Owner/President,N/A,N/A,https://www.deepsouthfreight.com
Baggett Transportation,Birmingham,AL,Birmingham AL,Freight Brokerages / Trucking,18,$3M-$7M,N/A,Owner,N/A,N/A,https://www.baggetttransport.com
Connecticut Wealth Management,Farmington,CT,Hartford CT,Wealth Management,15,$2M-$5M,N/A,Owner,N/A,N/A,https://ctwealthmgmt.com
SKY Investment Group,Hartford,CT,Hartford CT,Wealth Management,8,$1M-$3M,N/A,Owner,N/A,N/A,https://skyig.com
HFM Wealth Management,Hartford,CT,Hartford CT,Wealth Management,10,$1M-$3M,N/A,Owner,N/A,N/A,https://www.financestrategists.com
Laciny Bros Inc,University City,MO,St. Louis MO,Machine Shops / Metal Fabrication,12,$2M-$5M,Bob Laciny,Owner,N/A,N/A,https://www.lacinybros.com
Modern Screw Products,St. Louis,MO,St. Louis MO,Machine Shops / Metal Fabrication,15,$2M-$5M,N/A,Owner-Manager,N/A,N/A,https://modernscrewproducts.com
Cardinal Steel Supply,St. Louis,MO,St. Louis MO,Machine Shops / Metal Fabrication,18,$3M-$7M,N/A,Owner,N/A,N/A,https://cardinalsteel.com
Boss Metal Fabricators,St. Louis,MO,St. Louis MO,Machine Shops / Metal Fabrication,10,$1M-$3M,N/A,Owner,N/A,N/A,https://www.bossmetalfab.com
Kittridge Dermatology,Pittsburgh,PA,Pittsburgh PA,Dermatology,6,$500K-$1.5M,Dr. Ashley Kittridge,Owner/Founder,N/A,N/A,https://www.kittridgedermatology.com
Golla Center for Dermatology,Weirton,WV,Pittsburgh PA,Dermatology,8,$500K-$1.5M,N/A,Owner,N/A,N/A,https://golladermatology.com
Dermatology Associates of Western PA,Coraopolis,PA,Pittsburgh PA,Dermatology,12,$1M-$3M,Dr. Brian Pucevich,Owner,(412) 262-1064,N/A,https://www.wpaderm.com
Horvath Dermatology Associates,Pittsburgh,PA,Pittsburgh PA,Dermatology,8,$500K-$1.5M,Dr. David Horvath,Owner,N/A,N/A,https://www.horvathdermatology.com
Orson's Collision & Auto Repair,Detroit,MI,Detroit MI,Collision Repair,10,$1M-$3M,N/A,Owner,(313) 766-6040,orsonscollision@gmail.com,https://orsonsautocollision.com
AutoMark Collision,Detroit,MI,Detroit MI,Collision Repair,12,$1M-$3M,N/A,Owner,(248) 473-8100,repairs@automarkcollision.com,https://automarkcollision.com
The Collision Shop Detroit,Detroit,MI,Detroit MI,Collision Repair,8,$500K-$1.5M,N/A,Owner,(313) 541-2742,N/A,https://thecollisionshopdetroit.com
CarDome Collision & Auto Care,Detroit,MI,Detroit MI,Auto Repair Shops,8,$500K-$1.5M,N/A,Owner,(248) 368-0630,N/A,https://www.cardomeautorepair.com
Redford Auto Repair & Collision,Detroit,MI,Detroit MI,Collision Repair,8,$500K-$1.5M,N/A,Owner,(313) 900-0909,N/A,https://www.redfordcollision.com
NOLA Home Care,Metairie,LA,New Orleans LA,Senior Care Services,12,$1M-$3M,Brian & Kim Flaherty,Owners,N/A,N/A,https://nolahomecare.com
Cornerstone Caregiving New Orleans,New Orleans,LA,New Orleans LA,Senior Care Services,10,$1M-$2M,Dan Hunoway,Operating Director,(504) 608-6870,N/A,https://cornerstonecaregiving.com
MCS Memphis Remodeling,Memphis,TN,Memphis TN,Remodeling Contractors,12,$1M-$3M,Chad Henry,Market Operations Director,(901) 463-2904,MemphisHomeRemodeling@MCS360.com,https://mcsmemphisremodeling.com
A to Z Construction Services LLC,Memphis,TN,Memphis TN,Remodeling Contractors,10,$1M-$3M,N/A,Owner,(901) 399-4526,office@atozconstructionservices.com,https://www.atozconstructionservices.com
Phillips Property Solutions LLC,Memphis,TN,Memphis TN,General Contractors,10,$1M-$3M,N/A,Owner,(901) 436-3646,N/A,https://www.ppsmemphis.com
502ads,Louisville,KY,Louisville KY,Digital Marketing Agencies,6,$500K-$1M,Joshua Coffman,Founder,N/A,N/A,https://www.502ads.com
One Thing Marketing,Louisville,KY,Louisville KY,Digital Marketing Agencies,10,$1M-$3M,N/A,Owner,N/A,N/A,https://www.onethingmarketing.net
Guardian Owl Digital,Louisville,KY,Louisville KY,Digital Marketing Agencies,8,$500K-$1.5M,N/A,Owner,N/A,N/A,https://www.guardianowldigital.com
Hatfield Media,Louisville,KY,Louisville KY,Digital Marketing Agencies,10,$1M-$3M,N/A,Owner,N/A,N/A,https://hatfieldmedia.com
SouthFace Renovation & Construction LLC,Birmingham,AL,Birmingham AL,Remodeling Contractors,10,$1M-$3M,N/A,Owner,(205) 570-1818,N/A,https://birminghamremodelers.com
Reliable Design-Build-Remodel,Pelham,AL,Birmingham AL,Remodeling Contractors,12,$1M-$3M,N/A,Owner,N/A,N/A,https://reliablerem.com
Metro Contractors Inc,Birmingham,AL,Birmingham AL,Remodeling Contractors,8,$1M-$3M,N/A,Owner,(205) 871-8760,N/A,https://metrocontractorsinc.com
One Call Remodel,Birmingham,AL,Birmingham AL,Remodeling Contractors,8,$1M-$3M,N/A,Owner,(205) 588-2788,N/A,https://www.onecallremodel.com
D.F. Hughes Construction,Birmingham,AL,Birmingham AL,Remodeling Contractors,10,$1M-$3M,N/A,Owner,N/A,N/A,https://www.dfhughes.com
Elevate Construction,Birmingham,AL,Birmingham AL,Remodeling Contractors,8,$1M-$3M,N/A,Owner,(205) 960-7963,N/A,https://www.elevatebham.com
Hefner Eye Care & Optical Center,Oklahoma City,OK,Oklahoma City OK,Optometry,8,$500K-$1.5M,N/A,Owner,(405) 728-8853,N/A,https://www.hefnereyecare.com
Oklahoma Chiropractic Clinic,Oklahoma City,OK,Oklahoma City OK,Chiropractic Clinics,6,$500K-$1M,N/A,Owner,N/A,N/A,https://www.okchiropracticclinic.com
Strong's AutoCare LLC,South Windsor,CT,Hartford CT,Auto Repair Shops,10,$1M-$3M,Richard Strong,Owner,N/A,N/A,https://www.strongsautocare.com
Rondinone's Auto & Truck,Hartford,CT,Hartford CT,Auto Repair Shops,8,$500K-$1.5M,Caroline & John Rondinone Jr,Owners,N/A,N/A,https://www.hartfordtrucksct.com
Ace Auto Body,Hartford,CT,Hartford CT,Collision Repair,8,$500K-$1.5M,N/A,Owner,N/A,N/A,https://aceautobodyinc.com
AC Automotive Inc,West Hartford,CT,Hartford CT,Auto Repair Shops,8,$500K-$1.5M,N/A,Owner,N/A,N/A,https://ac-auto.com
Spencer Commercial Cleaning,St. Louis,MO,St. Louis MO,Commercial Cleaning,15,$1M-$3M,N/A,Owner,N/A,N/A,https://www.spencercommercialcleaning.com
Building Butlers Inc,St. Louis,MO,St. Louis MO,Commercial Cleaning,12,$1M-$3M,N/A,Owner,N/A,N/A,https://buildingbutlers.com
Verity Partners Group,St. Louis,MO,St. Louis MO,Commercial Cleaning,10,$1M-$2M,N/A,Owner,N/A,N/A,https://www.veritypartnersgroup.com
Accord Building Services,St. Louis,MO,St. Louis MO,Commercial Cleaning,10,$1M-$2M,N/A,Owner,(314) 209-8900,N/A,https://accordservices.net
At Home Senior Services,Pittsburgh,PA,Pittsburgh PA,Home Health Agencies,12,$1M-$3M,Mary Jo Dietrich RN-BSN,Co-Founder,N/A,N/A,https://www.athomeseniorservices.com
Fayer Family Home Care,Pittsburgh,PA,Pittsburgh PA,Home Health Agencies,10,$1M-$2M,N/A,Owner,N/A,N/A,https://www.homecarepgh.com
Gallagher Home Care Services,Pittsburgh,PA,Pittsburgh PA,Senior Care Services,10,$1M-$2M,N/A,Owner,N/A,N/A,https://www.gallaghercares.com
Care At Home,Pittsburgh,PA,Pittsburgh PA,Senior Care Services,8,$500K-$1.5M,N/A,Owner,N/A,N/A,https://careathome.us
High Level Marketing,Detroit,MI,Detroit MI,Digital Marketing Agencies,15,$2M-$5M,N/A,Owner,(888) 717-4249,N/A,https://highlevelmarketing.com
Detroit Internet Marketing,Detroit,MI,Detroit MI,Digital Marketing Agencies,8,$1M-$2M,N/A,Owner,(248) 234-4830,N/A,https://detroitinternetmarketing.com
Ottaway Digital,Detroit,MI,Detroit MI,SEO Agencies,6,$500K-$1M,Bob Ottaway,Owner,N/A,N/A,https://detroitseocompany.com
Tim's Quality Car Care,New Orleans,LA,New Orleans LA,Auto Repair Shops,8,$500K-$1.5M,N/A,Owner,(504) 831-7450,N/A,https://timsquality.com
CARS - Complete Automotive Repair & Service,Metairie,LA,New Orleans LA,Auto Repair Shops,8,$500K-$1.5M,N/A,Owner,(504) 455-6636,info@carsnola.com,https://www.carsnola.com
NOLA Automotive Repairs,New Orleans,LA,New Orleans LA,Auto Repair Shops,8,$500K-$1.5M,N/A,Owner,(504) 684-1881,N/A,https://www.nolaautomotiverepairs.com
Phase III Body Shop,New Orleans,LA,New Orleans LA,Collision Repair,6,$500K-$1M,Kennith Jackson,Owner,(504) 486-5078,N/A,N/A
Santos Automotive Center Inc,New Orleans,LA,New Orleans LA,Auto Repair Shops,6,$500K-$1M,Arturo,Owner,(504) 822-7658,N/A,N/A
Mason's Professional Cleaning Service LLC,Memphis,TN,Memphis TN,Commercial Cleaning,10,$500K-$1.5M,N/A,Owner,N/A,N/A,https://masonprofessionalcleaningservicellc.com
ServAll Commercial Cleaning,Memphis,TN,Memphis TN,Commercial Cleaning,8,$500K-$1.5M,Blake Peebles,Owner,(901) 387-7516,N/A,https://www.janitorialservicesinmemphistn.com
JSS Janitorial Services & Supplies,Memphis,TN,Memphis TN,Commercial Cleaning,8,$500K-$1M,N/A,Owner,N/A,N/A,https://www.jssjanitorial.com
