company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title,phone,email,website
New Bedford Management Corp.,New York,NY,New York City,Property Management,10,$1M-$3M,Peter von Simson,CEO,(212) 674-6123,peterv@nbmgmt.com,nbmgmt.com
Prestige Management Inc.,Bronx,NY,New York City,Property Management,8,$1M-$3M,Horace Henry,Principal,(718) 822-7471,hhenry@prestigemgt.com,N/A
ELH Management LLC,Brooklyn,NY,New York City,Property Management,7,$1M-$2M,Denise DiPalo,Owner,(718) 509-5881,denise@elhmgmt.com,elhmgmt.com
Harlem Property Management,New York,NY,New York City,Property Management,10,$1M-$3M,Principal,Owner,(212) 280-6823,askai@harlempm.com,harlempm.com
MD Squared Property Group,New York,NY,New York City,Property Management,12,$2M-$5M,Principal,Managing Director,N/A,N/A,mdsquaredpropertygroup.com
Citadel Property Corp,New York,NY,New York City,Property Management,15,$3M-$7M,Principal,President,N/A,N/A,citadelnyc.com
NYC Management,New York,NY,New York City,Property Management,8,$1M-$3M,Principal,Owner,N/A,N/A,nycmgmt.com
Southern Sky Realty,Nashville,TN,Nashville,Property Management,6,$500K-$1.5M,Jeff Irwin,Principal Broker,(615) 592-5216,N/A,southernskyrealtynashville.com
Bryant Properties LLC,Goodlettsville,TN,Nashville,Property Management,5,$500K-$1.5M,Larry Bryant,Owner,(615) 851-1953,N/A,N/A
Browning-Gordon & Company,Nashville,TN,Nashville,Property Management,15,$3M-$7M,Principal,President,(615) 383-3999,N/A,browning-gordon.com
Omni Realtors and Property Management,Nashville,TN,Nashville,Property Management,8,$1M-$3M,Principal,Owner,N/A,N/A,myomnirealty.com
CHADY Property Management,Nashville,TN,Nashville,Property Management,6,$500K-$1.5M,Principal,Owner,(615) 307-0716,N/A,N/A
Pure Property Management of Tennessee,Nashville,TN,Nashville,Property Management,10,$1M-$3M,Principal,Owner,(615) 840-2845,N/A,N/A
PMI Bay State,Newton,MA,Boston,HOA Management,8,$1M-$3M,Principal,Owner,(617) 564-0802,N/A,newtonpropertymanagementinc.com
PMI of Greater Boston,Boston,MA,Boston,HOA Management,7,$1M-$2M,Principal,Owner,(617) 420-5245,N/A,bostonpropertymanagementinc.com
Thayer & Associates,Boston,MA,Boston,HOA Management,10,$1M-$3M,Principal,President,N/A,N/A,thayerassociates.com
CHARLESGATE,Boston,MA,Boston,HOA Management,15,$2M-$5M,Principal,Managing Director,N/A,N/A,charlesgate.com
The Dartmouth Group,Boston,MA,Boston,HOA Management,12,$2M-$5M,Principal,President,N/A,N/A,thedartmouthgroup.com
Contact 1 Inc.,Washington,DC,Washington DC,Staffing Agency,10,$1M-$3M,Principal,Owner,N/A,N/A,contact1inc.com
The Ford Agency,Washington,DC,Washington DC,Staffing Agency,12,$2M-$5M,Principal,Owner,N/A,N/A,ford-agency.com
Whitman Associates,Washington,DC,Washington DC,Staffing Agency,15,$2M-$5M,Principal,President,N/A,N/A,whitmanjobs.com
PrideStaff San Diego,San Diego,CA,San Diego,Recruiting Agency,10,$2M-$5M,Thomas Young,Owner/Strategic-Partner,N/A,N/A,pridestaff.com
Manpower West,San Diego,CA,San Diego,Staffing Agency,18,$5M-$10M,Phil Blair,Co-Owner,N/A,N/A,manpowersandiego.com
Insurance Brokers of MN - Minneapolis,Minneapolis,MN,Minneapolis,Insurance Brokerage,12,$2M-$5M,Tyler Flatmoe,Manager,(952) 567-9964,N/A,insurancebrokersmn.com
Minnesota Insurance Brokers,Inver Grove Heights,MN,Minneapolis,Insurance Brokerage,6,$1M-$2M,Mike,Principal,(651) 432-5555,mike@minnesotaib.com,minnesotaib.com
The Hegland Agency (BrokerMN),Minneapolis,MN,Minneapolis,Insurance Brokerage,5,$500K-$1.5M,Aaron Bialke,Owner,N/A,N/A,brokermn.com
Leverage Lending Group,Charlotte,NC,Charlotte,Mortgage Brokerage,8,$1M-$3M,Angelo,Owner,N/A,N/A,lendwithleverage.com
Peak Financial Group Inc.,Charlotte,NC,Charlotte,Mortgage Brokerage,6,$1M-$2M,Grant,Owner,(704) 215-4724,grant@peakfinancialgroupinc.com,peakfinancialmortgage.com
Cobblestone Mortgage Corp,Charlotte,NC,Charlotte,Mortgage Brokerage,5,$500K-$1.5M,Norma Rowe,Owner,N/A,N/A,N/A
Mortgages By Scott,Charlotte,NC,Charlotte,Mortgage Brokerage,5,$500K-$1.5M,Scott Hastings,Owner,N/A,N/A,mortgagesbyscott.com
Wealth Advisors of Tampa Bay,Tampa,FL,Tampa,Wealth Management,8,$1M-$3M,Fenn,Managing Partner,N/A,N/A,wealthadvtb.com
