company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title,phone,email,website
All Heart Home Care,Nashville,TN,Nashville,Home Health Agency,10,$1M-$3M,Owner,Owner,615-361-4859,info@allheartfamily.com,allheartfamily.com
Home Healthcare Solutions,Nashville,TN,Nashville,Home Health Agency,8,$1M-$2M,Owner,Owner,615-250-2498,N/A,N/A
Advanced Home Health of Nashville,Nashville,TN,Nashville,Home Health Agency,12,$1M-$3M,Owner,Owner,N/A,N/A,homehealthandhospice.com/nashville
Danny's Home Health Care,San Diego,CA,San Diego,Home Health Agency,10,$1M-$3M,Ziad S. Kassab,Owner,619-908-1934,N/A,dannyshomehealthsd.com
All Heart Home Care San Diego,San Diego,CA,San Diego,Home Health Agency,15,$2M-$5M,Eric Barth,Owner,619-736-4677,N/A,allhearthomecare.com
San Diego Home Caregivers,San Diego,CA,San Diego,Home Health Agency,12,$1M-$3M,Sterling Myles,Owner,619-487-9000,N/A,sandiegohomecaregivers.com
FirstLight Home Care Metro Atlanta,Atlanta,GA,Atlanta,Home Health Agency,15,$2M-$5M,Nootan Pradhan,Owner,404-333-8282,N/A,firstlighthomecare.com/home-healthcare-metro-atlanta
Advantage Private Home Care,Atlanta,GA,Atlanta,Home Health Agency,12,$1M-$3M,Owner,Owner,404-312-6423,N/A,advantageprivatehomecare.com
A One Home Care Inc,Atlanta,GA,Atlanta,Home Health Agency,10,$1M-$3M,Owner,Owner,N/A,N/A,aonehomecare.org
Hands of Hope Healthcare,Atlanta,GA,Atlanta,Home Health Agency,15,$2M-$5M,Owner,Owner,678-515-5779,N/A,handsofhopehealthcare.com
CASA Healthcare,Houston,TX,Houston,Home Health Agency,12,$1M-$3M,Owner,Owner,281-485-5775,N/A,casahealthcare.com
Trinity Homecare,Houston,TX,Houston,Home Health Agency,10,$1M-$2M,David Moreno,Administrator,713-682-3090,N/A,N/A
Primetime Home Health Services,Houston,TX,Houston,Home Health Agency,15,$2M-$5M,Owner,Owner,N/A,N/A,pthhs.net
A-Team Home Care,Philadelphia,PA,Philadelphia,Home Health Agency,12,$1M-$3M,Owner,Owner,215-490-9994,N/A,ateampa.com
AmeriBest Home Care,Philadelphia,PA,Philadelphia,Home Health Agency,18,$3M-$5M,Owner,Owner,800-466-3227,info@ameribest.org,ameribesthomecare.com
Alternative Home Health Agency,Orlando,FL,Orlando,Home Health Agency,10,$1M-$3M,Michol B. Sanchez,Administrator,407-286-3460,N/A,ahhaorlando.com
FirstLight Home Care Central Orlando,Orlando,FL,Orlando,Home Health Agency,12,$1M-$3M,Karen,Owner,N/A,N/A,firstlighthomecare.com/home-healthcare-winter-park-orlando
Family Home Care Group,Orlando,FL,Orlando,Home Health Agency,8,$1M-$2M,Owner,Owner,N/A,N/A,familyhcg.com
Concierge Care Chicago,Chicago,IL,Chicago,Senior Home Care,15,$2M-$5M,Dr. Ken Breger,Founder,N/A,N/A,senior-homecare.com
Amada Senior Care Chicago,Chicago,IL,Chicago,Senior Home Care,10,$1M-$3M,Adam Busch,Owner,N/A,N/A,amadaseniorcare.com/chicago-senior-care
Twin Cities Care,Minneapolis,MN,Minneapolis,Senior Home Care,8,$1M-$2M,Jonathan Rosenberg,Owner/Founder,612-268-3500,N/A,twincitiescare.com
Amada Senior Care Minneapolis,Minneapolis,MN,Minneapolis,Senior Home Care,10,$1M-$3M,Crystal Larson,Owner,612-470-0105,N/A,amadaseniorcare.com/minneapolis-st-paul-senior-care
Home Instead Minneapolis,Minneapolis,MN,Minneapolis,Senior Home Care,15,$2M-$5M,Kathleen Stuck,Co-Owner,763-544-5988,N/A,homeinstead.com
Granny NANNIES Tampa,Tampa,FL,Tampa,Senior Home Care,10,$1M-$3M,Andrew Burke,Owner,N/A,N/A,grannynannies.com/Tampa
Kelli Care Tampa,Tampa,FL,Tampa,Senior Home Care,8,$1M-$2M,Kelli Miller,Owner,N/A,N/A,kellicaretampa.com
Amada Senior Care Tampa Bay,Tampa,FL,Tampa,Senior Home Care,10,$1M-$3M,Rob Hollenkamp,Owner,N/A,N/A,amadaseniorcare.com/tampa-bay-senior-care
Tampa Seniors Care,Tampa,FL,Tampa,Senior Home Care,8,$500K-$1M,Jaime and Silvia,Owners,813-505-5040,info@tampaseniorscare.com,tampaseniorscare.com
Right at Home Uptown NYC,New York,NY,New York City,Senior Home Care,15,$2M-$5M,Greg,Owner,N/A,N/A,rightathome.net/uptownnyc
Right at Home Lower Manhattan,New York,NY,New York City,Senior Home Care,15,$2M-$5M,Joyce Barocas,Co-Owner,N/A,N/A,rightathome.net/lower-manhattan
Best Senior Home Care LLC,Queens,NY,New York City,Senior Home Care,10,$1M-$3M,Kevin,Manager,N/A,N/A,bestseniorhomecare.com
Krewe Logistics,Dallas,TX,Dallas,Freight Brokerage,8,$2M-$5M,Tamara Brown,Founder,N/A,N/A,krewelogistics.com
Innovations Express,Dallas,TX,Dallas,Freight Brokerage,10,$2M-$5M,Owner,Owner,214-225-4347,N/A,innovationsexpress.com
Next Exit Logistics,Dallas,TX,Dallas,Freight Brokerage,12,$3M-$7M,Owner,Owner,N/A,N/A,nextexitlogistics.com
WhiteStar Logistics,Dallas,TX,Dallas,Freight Brokerage,15,$5M-$10M,Owner,Owner,N/A,N/A,whitestarlogistics.com
Hall Street 3PL,Brooklyn,NY,New York City,Freight Brokerage,10,$2M-$5M,Owner,Owner,718-907-9100,inquiry@hallstreet3pl.com,hallstreet3pl.com
North Georgia Freight Brokerage,Atlanta,GA,Atlanta,Freight Brokerage,8,$1M-$3M,Owner,Owner,470-891-6315,admin@ngfbrokerage.com,ngfbrokerage.com
BRW Atlanta,Atlanta,GA,Atlanta,Freight Brokerage,10,$2M-$5M,Owner,Owner,404-795-5470,N/A,brwnow.com
Bread Family Trucking LLC,Houston,TX,Houston,Freight Brokerage,8,$1M-$3M,Owner,Owner,346-666-4716,N/A,breadfamilytrucking.com
JCTS,Texas,TX,Houston,Freight Brokerage,12,$3M-$7M,Jimmy Cowart,Owner,N/A,N/A,jcts.com
LNC Logistics,Houston,TX,Houston,Freight Brokerage,10,$2M-$5M,Owner,Owner,832-777-1789,N/A,lnclogistics.com
Excargo,Houston,TX,Houston,Freight Brokerage,15,$5M-$10M,Owner,Owner,713-921-7700,sales@excargo.com,excargo.com
ITG Transportation Services,Chicago,IL,Chicago,Freight Brokerage,18,$5M-$10M,Owner,Owner,N/A,N/A,itgtrans.com
Freight Dispatch24,Atlanta,GA,Atlanta,Trucking Dispatch,8,$500K-$1M,Owner,Owner,404-981-2794,info@freightdispatch24.com,freightdispatch24.com
GA Girl Trucking & Dispatch LLC,Atlanta,GA,Atlanta,Trucking Dispatch,6,$500K-$1M,Lettice Kinsey,Founder,N/A,N/A,gagirltrucking.com
Dispatch Next Load,Atlanta,GA,Atlanta,Trucking Dispatch,8,$500K-$1M,Owner,Owner,N/A,N/A,dispatchnextload.com
William Parker Associates,Philadelphia,PA,Philadelphia,Trucking Dispatch,12,$2M-$5M,Owner,Owner,N/A,N/A,wmparker.com
Rapid Delivery Service Philadelphia,Philadelphia,PA,Philadelphia,Trucking Dispatch,15,$2M-$5M,Owner,Owner,N/A,N/A,rapidsameday.com
Denver Truck Broker And Dispatch,Commerce City,CO,Denver,Trucking Dispatch,6,$500K-$1M,Owner,Owner,N/A,N/A,N/A
PR Trucking,Denver,CO,Denver,Trucking Dispatch,10,$1M-$3M,Owner,Owner,N/A,N/A,prtrucks.com
ColtonCooper Logistics,Denver,CO,Denver,Trucking Dispatch,10,$1M-$3M,Owner,Owner,N/A,N/A,coltoncooperlogistics.com
Big Body Trucking & Dispatch LLC,Charlotte,NC,Charlotte,Trucking Dispatch,6,$500K-$1M,Owner,Owner,N/A,N/A,N/A
Carolina Logistic Inc,Charlotte,NC,Charlotte,Trucking Dispatch,8,$1M-$3M,Owner,Owner,N/A,N/A,carolinalogistic.com
Colorado Courier Co,Denver,CO,Denver,Courier Company,8,$1M-$2M,Owner,Owner,N/A,N/A,coloradocourier.co
Denver Area Express Courier,Denver,CO,Denver,Courier Company,10,$1M-$3M,Owner,Owner,720-664-9472,N/A,denverareaexpress.com
Swift Courier Services,Denver,CO,Denver,Courier Company,8,$1M-$2M,Owner,Owner,N/A,N/A,swiftcourierservices.com
Crystal Courier Service,Denver,CO,Denver,Courier Company,10,$1M-$3M,Owner,Owner,N/A,N/A,crystalcourier.com
Priority One Courier,Orange County,CA,Orange County,Courier Company,10,$1M-$3M,Owner,Owner,866-707-8802,N/A,priorityonecourier.com
Asteroid Express,Orange County,CA,Orange County,Courier Company,8,$1M-$2M,Owner,Owner,714-326-3230,N/A,asteroidxpress.com
Clockwork Express Courier Service,Boston,MA,Boston,Courier Company,8,$1M-$2M,Owner,Owner,781-581-9803,clockworkexpress@comcast.net,bostoncouriers.net
Allstate Courier Systems,Boston,MA,Boston,Courier Company,10,$1M-$3M,Owner,Owner,781-335-0261,info@allstatecouriers.com,allstatecouriers.com
Bocsit,Boston,MA,Boston,Courier Company,8,$1M-$2M,Owner,Owner,617-807-0411,N/A,bocsit.com
Eric's Instant Delivery,Philadelphia,PA,Philadelphia,Courier Company,10,$1M-$3M,Owner,Owner,215-881-2222,N/A,ericsinstantdelivery.com
Blue Streak Courier Service,Philadelphia,PA,Philadelphia,Courier Company,12,$1M-$3M,Owner,Owner,610-935-1999,N/A,bluestreakcourier.com
Gross Machining,Phoenix,AZ,Phoenix,Machine Shop,6,$500K-$1M,Kent Gross,Owner,623-294-9412,N/A,grossmachining.com
Blake Machine,Phoenix,AZ,Phoenix,Machine Shop,8,$1M-$2M,Dave Blake,Owner,602-258-3219,N/A,blakemachine.com
Engine House Inc,Phoenix,AZ,Phoenix,Machine Shop,10,$1M-$3M,Owner,Owner,602-265-2752,N/A,enginehouse.com
JBs Precision Industries,Phoenix,AZ,Phoenix,Machine Shop,12,$2M-$5M,Owner,Owner,N/A,N/A,jbsprecision.com
Los Angeles Machine Shop,Los Angeles,CA,Los Angeles,Machine Shop,8,$1M-$2M,Owner,Owner,818-767-6603,N/A,losangelesmachineshop.com
Findlay's Machine Shop,Los Angeles,CA,Los Angeles,Machine Shop,6,$500K-$1M,Owner,Owner,310-478-8918,N/A,N/A
Anchor Machine & Fab LLC,Tampa,FL,Tampa,Machine Shop,10,$1M-$3M,Gary and Susan,Owners,813-247-3099,N/A,anchormachineshop.com
Ray's Performance Machine Shop,Tampa,FL,Tampa,Machine Shop,6,$500K-$1M,Ray,Owner,813-443-8226,HIGHBOOSTTOYS@YAHOO.COM,N/A
Flaherty Machine & Manufacturing,Northern NJ,NJ,Northern New Jersey,Machine Shop,12,$2M-$5M,Owner,Owner,N/A,N/A,flahertymachine.com
Verden Tool & Manufacturing,Dover,NJ,Northern New Jersey,Machine Shop,10,$1M-$3M,Owner,Owner,973-366-7510,N/A,N/A
International Tool & Manufacturing,Fairfield,NJ,Northern New Jersey,Machine Shop,10,$1M-$3M,Owner,Owner,973-227-6767,N/A,N/A
Superior Tool & Manufacturing,Northern NJ,NJ,Northern New Jersey,Machine Shop,15,$2M-$5M,Owner,Owner,800-246-8959,N/A,superiortoolonline.com
Walkup Company,Houston,TX,Houston,Metal Fabrication,15,$3M-$7M,Owner,Owner,713-675-6383,info@walkupco.com,walkupco.com
Campo Sheet Metal Works,Houston,TX,Houston,Metal Fabrication,12,$2M-$5M,Owner,Owner,832-325-6300,N/A,camposheetmetal.com
Amtex Precision,Houston,TX,Houston,Metal Fabrication,15,$2M-$5M,Jacob Melton,President/Co-Owner,N/A,N/A,amtexprecision.com
Texas Sheet Metal Services,Houston,TX,Houston,Metal Fabrication,10,$1M-$3M,Francisco Perez,Owner,N/A,N/A,texassheetmetalservices.com
P&C Metalworks,Chicago,IL,Chicago,Metal Fabrication,8,$1M-$2M,Owner,Owner,N/A,N/A,pandcmetalworks.com
Avenue Metal,Chicago,IL,Chicago,Metal Fabrication,8,$1M-$2M,Owner,Owner,N/A,N/A,avenuemetal.com
Suburban Welding & Steel,Chicago,IL,Chicago,Metal Fabrication,15,$2M-$5M,Owner,Owner,847-678-1264,N/A,suburbanweldingandsteel.com
Wayward Machine Co,Chicago,IL,Chicago,Metal Fabrication,8,$1M-$2M,Owner,Owner,N/A,N/A,waywardmachineco.com
GZ Metal,Dallas,TX,Dallas,Metal Fabrication,12,$2M-$5M,Owner,Owner,972-475-3003,info@gzmetal.com,gzmetal.com
Baldwin Metals,Dallas,TX,Dallas,Metal Fabrication,15,$3M-$7M,Owner,Owner,214-747-6722,sales@baldwinmetals.com,baldwinmetals.com
Custom Mfg Co,Dallas,TX,Dallas,Metal Fabrication,12,$2M-$5M,Owner,Owner,214-428-5173,Sales@custommfgco.com,custommfgco.com
Holly Fabrications,Dallas,TX,Dallas,Metal Fabrication,10,$1M-$3M,Owner,Owner,972-233-5362,N/A,hollyfab.com
Fine Line Production,Dallas,TX,Dallas,Metal Fabrication,12,$2M-$5M,Richard Smith,Founder,N/A,N/A,finelineproduction.com
Wee Studio Inc,Northern NJ,NJ,Northern New Jersey,Metal Fabrication,8,$1M-$2M,Serngku Wee,Owner,N/A,N/A,weestudioinc.com
Harold R Henrich Inc,Hackensack,NJ,Northern New Jersey,Metal Fabrication,12,$2M-$5M,Owner,Owner,N/A,N/A,haroldhenrich.com
Quality Sheet Metal and Welding,Piscataway,NJ,Northern New Jersey,Metal Fabrication,10,$1M-$3M,Owner,Owner,N/A,N/A,qsm-w.com
Distinctive Cabinets LLC,Charlotte,NC,Charlotte,Cabinet Manufacturing,10,$1M-$3M,Steve Young,Owner,N/A,N/A,distinctivecabinets.com
Discount Kitchen Direct Charlotte,Charlotte,NC,Charlotte,Cabinet Manufacturing,8,$1M-$2M,Wayne Brooks,Franchise Owner,866-353-2227,wayne@discountkitchendirect.com,discountkitchendirect.com
Wood Gem Custom Cabinets,Dallas,TX,Dallas,Cabinet Manufacturing,6,$500K-$1M,Roy,Owner,214-773-1394,woodgem1@gmail.com,woodgemcustomcabinets.com
B&W Cabinets,Dallas,TX,Dallas,Cabinet Manufacturing,8,$1M-$2M,Owner,Owner,817-485-0444,N/A,bwcabinets.com
Douglas Custom Cabinets,Dallas,TX,Dallas,Cabinet Manufacturing,10,$1M-$3M,Owner,Owner,N/A,N/A,douglascustomcabinetry.com
Alejandro's Custom Cabinets,Dallas,TX,Dallas,Cabinet Manufacturing,8,$1M-$2M,Alejandro,Owner,N/A,N/A,alejandroscustomcabinets.com
Elite Woodworking,Phoenix,AZ,Phoenix,Cabinet Manufacturing,10,$1M-$3M,Dan Walker,Owner,N/A,N/A,elitewoodworking.net
Madera Cabinets,Mesa,AZ,Phoenix,Cabinet Manufacturing,12,$2M-$5M,Bobby Barko,Owner,N/A,N/A,maderacabinets.com
SOLLiD Cabinetry,Chandler,AZ,Phoenix,Cabinet Manufacturing,15,$3M-$7M,Owner,Owner,N/A,N/A,sollidcabinetry.com
Holmes Cabinet Specialties,Houston,TX,Houston,Cabinet Manufacturing,10,$1M-$3M,Jordon Holmes,Founder,409-543-2706,N/A,holmescabinetspecialties.com
Carpentry by Carlos,Houston,TX,Houston,Cabinet Manufacturing,8,$1M-$2M,Carlos and Angela,Co-Founders,N/A,N/A,carpentrybycarlos.com
Harrison Construction & Remodeling,Houston,TX,Houston,Cabinet Manufacturing,10,$1M-$3M,B. Harrison,Owner,713-409-7632,bharrison@harrisonbuildingservices.com,harrisonbuildingservices.com
Amish Cabinets of Texas,Houston,TX,Houston,Cabinet Manufacturing,10,$1M-$3M,Owner,Owner,281-587-2663,N/A,amishcabinetsoftexas.com
Tampa Sign Company,Tampa,FL,Tampa,Sign Manufacturing,8,$1M-$2M,Owner,Owner,813-291-4561,N/A,tampasigncompany.net
Tampa Bay Signs LLC,St Petersburg,FL,Tampa,Sign Manufacturing,10,$1M-$3M,Owner,Owner,727-324-9168,N/A,tbsigns.com
OnSight Industries Tampa,Tampa,FL,Tampa,Sign Manufacturing,12,$2M-$5M,Owner,Owner,407-830-8861,N/A,onsightindustries.com
Signs of Intelligence,Peachtree Corners,GA,Atlanta,Sign Manufacturing,10,$1M-$3M,Owner,Owner,470-385-0171,info@signsofintelligence.net,signsofintelligence.net
Alpha Sign Company,Alpharetta,GA,Atlanta,Sign Manufacturing,8,$1M-$2M,Owner,Owner,470-252-8008,N/A,alphasign.com
JBP & Associates Inc,Atlanta,GA,Atlanta,Sign Manufacturing,10,$1M-$3M,Owner,Owner,678-941-1840,N/A,atlantasignsandgraphics.com
BlackFire Signs,Atlanta,GA,Atlanta,Sign Manufacturing,8,$1M-$2M,Owner,Owner,404-636-4800,N/A,blackfiresigns.com
Pinnacle Custom Signs,Buford,GA,Atlanta,Sign Manufacturing,10,$1M-$3M,Owner,Owner,678-714-8700,N/A,pinnaclecustomsigns.com
Albrecht Sign Company,Minneapolis,MN,Minneapolis,Sign Manufacturing,12,$2M-$5M,Tom Albrecht,Founder,N/A,N/A,albrechtsigns.com
Leroy Signs Inc,Brooklyn Park,MN,Minneapolis,Sign Manufacturing,15,$3M-$7M,Owner,Owner,N/A,N/A,leroysigns.com
King Signs,Minneapolis,MN,Minneapolis,Sign Manufacturing,10,$1M-$3M,Owner,Owner,N/A,N/A,kingsignsmn.com
OC Sign Company,Orange County,CA,Orange County,Sign Manufacturing,6,$500K-$1M,Rick,Owner,949-204-0707,rick@ocsigncompany.com,ocsigncompany.com
Superior Signs and Graphics,Buena Park,CA,Orange County,Sign Manufacturing,8,$1M-$2M,Scott Hoffman,Owner,714-739-2855,N/A,superiorsignsandgraphics.com
Instant Signs Cypress,Cypress,CA,Orange County,Sign Manufacturing,8,$1M-$2M,Dan,Owner,N/A,N/A,instantsignscypress.com
Miami Catering,Miami,FL,Miami,Catering Company,10,$1M-$3M,Owner,Owner,786-357-4990,info@miamicatering.com,miamicatering.com
Maya Catering,Miami,FL,Miami,Catering Company,8,$1M-$2M,Chef Jose Maya,Owner/Chef,N/A,N/A,mayacatering.com
Exquisite Catering by Robert,Miami,FL,Miami,Catering Company,10,$1M-$3M,David Guzman,Owner,305-877-8960,N/A,N/A
Mirabella Catering,Magnolia,NJ,Northern New Jersey,Catering Company,8,$1M-$2M,Stephen Dattner,Owner/Chef,856-805-7694,chefstephen@mirabellacatering.com,mirabellacatering.com
Foodinis Catering,Northern NJ,NJ,Northern New Jersey,Catering Company,10,$1M-$3M,John Deatcher,Chef-Owner,732-775-3663,N/A,foodinis.com
Michelle's Catering,Whippany,NJ,Northern New Jersey,Catering Company,8,$1M-$2M,Michelle,Owner,N/A,N/A,michellescatering.com
QC Catering,Charlotte,NC,Charlotte,Catering Company,10,$1M-$3M,Andrew Matroni,Owner,N/A,N/A,qccatering.com
Catering by Tracy,Charlotte,NC,Charlotte,Catering Company,8,$1M-$2M,Tracy O'Boyle,Owner,N/A,N/A,cateringbytracy.net
Atlanta's Finest Catering,Winston,GA,Atlanta,Catering Company,8,$1M-$2M,Lorie Bomar,Owner,404-535-1965,loriebomar@hotmail.com,atlantasfc.com
Scrumptious Events Atlanta,Tucker,GA,Atlanta,Catering Company,10,$1M-$3M,Owner,Owner,404-254-6198,ScrumptiousEventsAtl@gmail.com,sfcateringatl.com
