company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title,phone,email,website
Super Cool HVAC,Brooklyn,NY,New York City,HVAC,8,$1M-$3M,Owner,Owner,(718) 415-6091,N/A,supercoolhvac.com
AirCool HVAC,Queens,NY,New York City,HVAC,10,$1M-$3M,Owner,Owner,(718) 465-1653,info@aircoolpro.com,aircool-hvac.com
Figlia & Sons,Manhattan,NY,New York City,HVAC,12,$2M-$5M,Owner,Owner,N/A,N/A,figliasons.com
Always On HVAC,New York,NY,New York City,HVAC,8,$1M-$3M,Owner,Owner,N/A,N/A,alwaysonhvac.com
Prestige HVAC,New York,NY,New York City,HVAC,10,$1M-$3M,Owner,Owner,N/A,N/A,prestigemcc.com
MJ Frick Co.,Nashville,TN,Nashville,Plumbing,15,$2M-$5M,Owner,Owner,(615) 431-8095,N/A,mjfrickco.com
Holt Plumbing Company,Nashville,TN,Nashville,Plumbing,12,$2M-$5M,Owner,Owner,N/A,N/A,holtplumbing.com
Music City Remodels,Nashville,TN,Nashville,Plumbing,8,$1M-$3M,Owner,Owner,N/A,N/A,musiccityremodels.com
Jack Ward & Sons Plumbing,Nashville,TN,Nashville,Plumbing,15,$2M-$5M,Owner,Owner,N/A,N/A,jackwardandsonsplumbing.com
Colman Electric,Boston,MA,Boston,Electrical,10,$1M-$3M,Kevin Colman,Owner,N/A,N/A,colmanelectric.com
Paul Macrina Electrical,Boston,MA,Boston,Electrical,12,$2M-$5M,Paul Macrina,Owner,N/A,N/A,paulmacrina.com
Sartell Electrical Services,Boston,MA,Boston,Electrical,15,$2M-$5M,Owner,Owner,(781) 944-9152,N/A,sartellelectrical.com
Kuhlman Electric,Boston,MA,Boston,Electrical,10,$1M-$3M,Owner,Owner,N/A,N/A,kuhlmanelectricalservices.com
Boston Electrical Solutions,Boston,MA,Boston,Electrical,8,$1M-$3M,Owner,Owner,N/A,N/A,bostonelectricalsolutions.com
G & G Home Improvements,Washington,DC,Washington DC,Roofing,10,$1M-$3M,Owner,Owner,N/A,gandghomeimprovements@gmail.com,gandghomeimprovements.net
Keith Roofing,Washington,DC,Washington DC,Roofing,8,$1M-$3M,Hugh,Owner,(202) 486-7359,N/A,keith-roofing.com
ASAP Roofing & Exteriors,Washington,DC,Washington DC,Roofing,10,$1M-$3M,Owner,Owner,N/A,N/A,asaproofingandexteriors.com
William Mackay Roofing,Washington,DC,Washington DC,Roofing,12,$2M-$5M,Owner,Owner,N/A,N/A,williammackayroofing.com
National Roofing DC,Washington,DC,Washington DC,Roofing,10,$1M-$3M,Owner,Owner,N/A,N/A,nationalroofingdc.com
Marsol Construction,San Diego,CA,San Diego,Remodeling,10,$1M-$3M,Owner,Owner,(619) 285-2118,N/A,marsolconstruction.com
Marrokal Design & Remodeling,San Diego,CA,San Diego,Remodeling,18,$3M-$7M,Owner,Owner,(619) 441-9300,marrokal.info@gmail.com,marrokal.com
Creations Construction,San Diego,CA,San Diego,Remodeling,10,$1M-$3M,Owner,Owner,(619) 604-6665,N/A,creationsremodel.com
JDC Build Construction,San Diego,CA,San Diego,Remodeling,8,$1M-$3M,Owner,Owner,(619) 800-3205,N/A,jdcbuild.com
First Choice Home Builders,San Diego,CA,San Diego,Remodeling,10,$1M-$3M,Igor,Owner,(619) 305-2041,N/A,1homebuilders.com
Eclipse Painting,Minneapolis,MN,Minneapolis,Painting,8,$500K-$1.5M,Owner,Owner,(952) 495-1141,eclipsepaintinginc@gmail.com,eclipsepaintinginc.com
Chileen Painting,Minneapolis,MN,Minneapolis,Painting,12,$1M-$3M,Owner,Owner,(612) 850-0325,info@chileen.com,chileenpainting.com
Varsity Painters,Minneapolis,MN,Minneapolis,Painting,10,$1M-$3M,Joe Perry,Co-Owner,N/A,N/A,varsitypainters.com
William Nunn Painting,Minneapolis,MN,Minneapolis,Painting,8,$500K-$1.5M,William Nunn,Owner,(612) 825-3875,N/A,williamnunnpainting.com
Headwaters Painting,Minneapolis,MN,Minneapolis,Painting,10,$1M-$3M,Owner,Owner,N/A,N/A,headwaterspainting.com
Noosa Pest Management,Charlotte,NC,Charlotte,Pest Control,12,$1M-$3M,Fred Wingate,Owner,(704) 499-9922,N/A,noosapest.com
City Wide Exterminating,Charlotte,NC,Charlotte,Pest Control,15,$2M-$5M,Owner,Owner,(704) 850-6091,N/A,citywideexterm.com
Black Pest Prevention,Charlotte,NC,Charlotte,Pest Control,18,$3M-$7M,Owner,Owner,(704) 529-9496,N/A,blackpest.com
Cardinal Environmental Solutions,Charlotte,NC,Charlotte,Pest Control,8,$500K-$1.5M,Owner,Owner,N/A,N/A,cardinalenvironmentalsolutions.com
K&M Lawn Services,Tampa,FL,Tampa,Landscaping,8,$500K-$1.5M,Owner,Owner,N/A,N/A,kmlawnservices.com
Medscapes LLC,Tampa,FL,Tampa,Landscaping,10,$1M-$3M,Owner,Owner,(813) 382-5801,N/A,medscapes.net
J & M Lawn Service and More LLC,Tampa,FL,Tampa,Landscaping,6,$500K-$1.5M,Owner,Owner,(813) 401-5988,N/A,jandmlawnserviceandmore.com
Onorato Landscape Design,Tampa,FL,Tampa,Landscaping,8,$500K-$1.5M,Owner,Owner,(727) 817-1288,N/A,onoratoslandscapedesign.com
Sunrise Landscape,Tampa,FL,Tampa,Landscaping,15,$2M-$5M,Owner,Owner,(813) 985-9381,N/A,sunriselandscape.com
Centry Air Designs,Miami,FL,Miami,HVAC,10,$1M-$3M,Owner,Owner,(305) 458-5022,N/A,centryairdesigns.com
Ameri Temp Air Conditioning,Miami,FL,Miami,HVAC,12,$1M-$3M,Owner,Owner,(305) 221-2255,N/A,ameritempac.com
TemPros Air Conditioning,Miami,FL,Miami,HVAC,8,$1M-$3M,Owner,Owner,(305) 609-5132,N/A,temprosair.com
Hi-Tech Air Service,Miami,FL,Miami,HVAC,12,$2M-$5M,Owner,Owner,N/A,N/A,hi-techairservice.com
Emergency AC Corp,Miami,FL,Miami,HVAC,10,$1M-$3M,Owner,Owner,(855) 783-2080,N/A,emergencyaccorp.com
Sweeney Plumbing and Heating,Philadelphia,PA,Philadelphia,Plumbing,10,$1M-$3M,Anthony Sweeney,Owner,N/A,N/A,sweeneyph.com
Edward Hughes & Son,Philadelphia,PA,Philadelphia,Plumbing,12,$2M-$5M,Owner,Owner,N/A,N/A,edwardhughesplumbing.net
Bill Frusco Plumbing,Philadelphia,PA,Philadelphia,Plumbing,18,$3M-$7M,Owner,Owner,N/A,N/A,billfrusco.com
Mount Airy Plumbing,Philadelphia,PA,Philadelphia,Plumbing,8,$1M-$3M,Owner,Owner,N/A,N/A,mountairyplumbing.com
City Plumbing,Philadelphia,PA,Philadelphia,Plumbing,10,$1M-$3M,Owner,Owner,N/A,N/A,mycityplumbing.com
Toth Electric,North Jersey,NJ,Northern New Jersey,Electrical,8,$1M-$3M,Owner,Owner,N/A,N/A,tothelectricllc.com
Gladiator Electric,Bergen County,NJ,Northern New Jersey,Electrical,8,$1M-$3M,Mike,Owner,N/A,N/A,gladiatorelectric.com
Garrett Electric,Chester,NJ,Northern New Jersey,Electrical,10,$1M-$3M,Garrett Lombardo,Owner,N/A,N/A,garrettelectric.com
Nardone Electric,Andover,NJ,Northern New Jersey,Electrical,10,$1M-$3M,Owner,Owner,(908) 684-4680,N/A,nardone-electric.com
Wire Works Electric,Morris County,NJ,Northern New Jersey,Electrical,12,$1M-$3M,Owner,Owner,(973) 328-3333,N/A,wireworkselectricnj.com
Don Kennedy Roofing,Nashville,TN,Nashville,Roofing,15,$2M-$5M,Owner,Owner,N/A,N/A,donkennedyroofing.com
MidSouth Construction,Nashville,TN,Nashville,Roofing,18,$3M-$7M,Owner,Owner,N/A,N/A,roofingbymidsouth.com
Southern Roofing,Nashville,TN,Nashville,Roofing,20,$3M-$7M,Rick Ragan,Founder,N/A,N/A,srctn.com
Smith's Pest Management,San Francisco,CA,San Francisco Bay Area,Pest Control,15,$2M-$5M,Zach Smith,Owner,N/A,N/A,smithspestmanagement.com
ATCO Pest Control,San Francisco,CA,San Francisco Bay Area,Pest Control,10,$1M-$3M,Owner,Owner,N/A,N/A,atcopestcontrol.com
Day & Nite Pest Control,San Francisco,CA,San Francisco Bay Area,Pest Control,12,$1M-$3M,Owner,Owner,N/A,N/A,bayareapestcontrol.us
