company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title,phone,email,website
Gibsons Restaurant Group,Chicago,IL,Chicago,Independent Restaurant Group,20,$15M-$25M,Steve Lombardo II,Owner,N/A,N/A,https://grgmc.com/
DineAmic Hospitality,Chicago,IL,Chicago,Independent Restaurant Group,15,$5M-$10M,Owner,Owner,N/A,N/A,https://www.dineamic.com/
F & B Group Holdings,Chicago,IL,Chicago,Independent Restaurant Group,18,$5M-$10M,Owner,Owner,N/A,N/A,https://www.fbgroupchicago.com/
The Fifty/50 Group,Chicago,IL,Chicago,Independent Restaurant Group,20,$5M-$10M,Owner,Owner,N/A,N/A,https://www.thefifty50group.com/
Susan's Catering,Nashville,TN,Nashville,Catering Company,10,$1M-$3M,Susan Meador,Owner,N/A,N/A,https://www.susanscatering.com
Stage Left Catering,Nashville,TN,Nashville,Catering Company,10,$1M-$3M,Jim LeClaire,Owner/Chef,N/A,N/A,http://stageleftcatering.com/
Menu Maker Catering,Nashville,TN,Nashville,Catering Company,12,$1M-$3M,Mary Weary,Owner,N/A,N/A,https://menumakercatering.com/
Panache Catering,Nashville,TN,Nashville,Catering Company,8,$1M-$3M,Darryl Dinning,Owner,N/A,N/A,https://panachenashville.com/
G Catering,Nashville,TN,Nashville,Catering Company,8,$500K-$1M,Owner,Owner,N/A,N/A,https://gcatering.com/
Ambrosia Catering,Nashville,TN,Nashville,Catering Company,10,$1M-$3M,Owner,Owner,N/A,N/A,https://www.ambrosiacateringtn.com
La La Land Kind Cafe,Dallas,TX,Dallas,Coffee Shop Chain,15,$3M-$5M,Francois Reihani,Founder,N/A,N/A,https://www.lalalandkindcafe.com/
151 Coffee,Dallas,TX,Dallas,Coffee Shop Chain,20,$3M-$5M,Mark Wattles,Founder,N/A,N/A,https://www.151coffee.com/
White Rhino Coffee,Dallas,TX,Dallas,Coffee Shop Chain,18,$2M-$5M,Chris Parvin,Founder,N/A,N/A,https://www.whiterhino.com/
Ms. Cheezious,Miami,FL,Miami,Food Truck Operator,12,$1M-$3M,Owner,Owner,N/A,N/A,https://www.mscheezious.com/
K5 Hospitality,Atlanta,GA,Atlanta,Independent Restaurant Group,15,$3M-$5M,Owner,Owner,N/A,N/A,https://www.k5hospitality.com/
101 Concepts Group,Atlanta,GA,Atlanta,Independent Restaurant Group,18,$3M-$5M,Owner,Owner,N/A,N/A,https://www.101concepts.com/
Fork and Flavor Catering,Houston,TX,Houston,Catering Company,8,$500K-$1M,Owner,Owner,N/A,N/A,https://forkandflavorcatering.com/
Bailey Connor Catering,Houston,TX,Houston,Catering Company,10,$1M-$3M,Owner,Owner,N/A,N/A,https://www.baileyconnor.com/
Lighthouse Catering,Houston,TX,Houston,Catering Company,8,$1M-$3M,Pamela Clark,Owner/Chef,N/A,N/A,https://lighthousecateringtx.com/
HTX Catering,Houston,TX,Houston,Catering Company,8,$500K-$1M,Ryan Granger,Co-Owner,N/A,N/A,https://htxcatering.com/
Keifs Catering,Houston,TX,Houston,Catering Company,10,$1M-$3M,Owner,Owner,N/A,N/A,https://keifscatering.com/
TJs Catering,Houston,TX,Houston,Catering Company,8,$500K-$1M,Owner,Owner,N/A,N/A,https://tjscatering.net/
F+F Concepts,Phoenix,AZ,Phoenix,Independent Restaurant Group,15,$3M-$5M,Danny Quinn,Founder,N/A,N/A,https://www.fandfconcepts.com/
Common Ground Culinary,Phoenix,AZ,Phoenix,Independent Restaurant Group,20,$5M-$10M,Christopher Collins,Founder,N/A,N/A,https://www.commongroundculinary.com/
Vivili Hospitality Group,Phoenix,AZ,Phoenix,Independent Restaurant Group,15,$3M-$5M,Skyler Reeves,Founder,N/A,N/A,N/A
Romulus Restaurant Group,Phoenix,AZ,Phoenix,Independent Restaurant Group,12,$2M-$5M,Owner,Owner,N/A,N/A,https://www.romulusinc.com
Le Chef Bakery,Montebello,CA,Los Angeles,Bakery with Wholesale Operations,18,$3M-$5M,Owner,Owner,N/A,N/A,https://www.lechefbakery.com/
Larder Baking Company,Los Angeles,CA,Los Angeles,Bakery with Wholesale Operations,12,$2M-$5M,Suzanne Goin,Co-Founder,N/A,N/A,https://www.larderbakingco.com/
Sweet Temptations,Los Angeles,CA,Los Angeles,Bakery with Wholesale Operations,10,$1M-$3M,Owner,Owner,N/A,N/A,https://sweettemptations.la/
