company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title,phone,email,website
NYC Weightloss Solutions,New York,NY,New York City,Weight Loss Clinics,5,$500K-$1M,Becky Wilborn,Owner,N/A,N/A,https://www.yelp.com/biz/nyc-weightloss-solutions-new-york
Medical Weight Control and Nutrition,New York,NY,New York City,Weight Loss Clinics,8,$750K-$1.5M,Owner,Medical Director,N/A,N/A,https://weightmd.com/
Garcia Weight Loss Aesthetics & Hormone Therapy,Tampa,FL,Tampa,Weight Loss Clinics,12,$1M-$2M,Dr. J Jay Garcia,Founder/Medical Director,N/A,N/A,https://www.garciaweightloss.com/
Premiere Weight Loss + Wellness,Tampa,FL,Tampa,Weight Loss Clinics,6,$500K-$1M,Owner,Medical Director,N/A,N/A,https://tampapremiereweightloss.com/
Solutions Weight Loss Orlando,Orlando,FL,Orlando,Weight Loss Clinics,8,$750K-$1.5M,Dr. William Newsome,Founder/Medical Director,N/A,N/A,https://solutionsweightloss.net/
Orlando Medical Weight Loss Clinic,Orlando,FL,Orlando,Weight Loss Clinics,7,$500K-$1M,Dr. St Peter,Medical Director,N/A,N/A,https://orlandoweightloss.com
Svelte Medical Weight Loss Centers,Orlando,FL,Orlando,Weight Loss Clinics,10,$1M-$2M,Dr. Bragg,Founder,N/A,N/A,https://sveltemd.com/
Bodenvy Weight Loss,Orlando,FL,Orlando,Weight Loss Clinics,6,$500K-$1M,Jim,Founder/Owner,N/A,N/A,https://www.bodenvyweightloss.com/
Weight Solutions Clinic,Phoenix,AZ,Phoenix,Weight Loss Clinics,6,$500K-$1M,Dr. Paul Benchwick,Founder,N/A,N/A,https://phoenixweightsolutions.com
Phoenix NP,Phoenix,AZ,Phoenix,Weight Loss Clinics,5,$400K-$800K,Jenny Vu,Founder/Owner,N/A,N/A,https://www.phoenixnp.com/
Valley Medical Weight Loss,Phoenix,AZ,Phoenix,Weight Loss Clinics,15,$1.5M-$3M,Owner,Medical Director,N/A,N/A,https://www.valleymedicalweightloss.com/
Smart Medicine SF,San Francisco,CA,San Francisco Bay Area,Weight Loss Clinics,6,$500K-$1M,Dr. Vinh Ngo,Owner/Medical Director,N/A,N/A,https://smartmedsf.com/
BrightBody Weight Loss Center,San Francisco,CA,San Francisco Bay Area,Weight Loss Clinics,5,$400K-$800K,Owner,Medical Director,N/A,N/A,https://www.brightbody.com/
Holistic Weight & Wellness Center,Northern NJ,NJ,Northern New Jersey,Weight Loss Clinics,6,$500K-$1M,Owner,Founder (Woman/Veteran Owned),N/A,N/A,https://www.holisticweightandwellness.com
Nusbaum Weight Loss Centers,Northern NJ,NJ,Northern New Jersey,Weight Loss Clinics,10,$1M-$2M,Dr. Michael Nusbaum,Founder/Medical Director,N/A,N/A,https://nusbaumweightloss.com/
Jersey Weight Loss Clinic,Northern NJ,NJ,Northern New Jersey,Weight Loss Clinics,5,$400K-$800K,Owner,Clinical Director,N/A,N/A,https://jerseyweightlossclinic.com/
Charlotte Weight Loss and Wellness Clinic,Charlotte,NC,Charlotte,Weight Loss Clinics,6,$500K-$1M,Dr. Joseph Okoye,Owner/Medical Director,N/A,N/A,https://charlotteweightlossandwellnessclinic.com/
Dr. Girouard's Weight Loss & Wellness Clinics,Charlotte,NC,Charlotte,Weight Loss Clinics,10,$1M-$2M,Dr. Girouard,Founder/Owner,N/A,N/A,https://drgirouardmd.com
Dr. Marlowe's Weight Loss Institute,Charlotte,NC,Charlotte,Weight Loss Clinics,7,$750K-$1.5M,Dr. Marlowe,Owner,N/A,N/A,https://marlowesweightloss.com/
Lite Medical,Minneapolis,MN,Minneapolis,Weight Loss Clinics,12,$1M-$2M,Dr. Kyle Kingsley,Founder/Medical Director,N/A,N/A,https://litemedicalclinic.com/
RescueMD,Minneapolis,MN,Minneapolis,Weight Loss Clinics,6,$500K-$1M,Owner,Medical Director,N/A,N/A,https://www.myrescuemd.com/
All-Inclusive Preventive Care,Miami Gardens,FL,Miami,IV Therapy Clinics,5,$400K-$800K,Evelyn Rodriguez,Owner/APRN,N/A,N/A,https://www.allinclusive.care/
ELIXR IV Therapy & Wellness,Miami,FL,Miami,IV Therapy Clinics,6,$500K-$1M,Owner,Founder,N/A,N/A,https://www.elixrme.com/
Hydrate Medical,Charlotte,NC,Charlotte,IV Therapy Clinics,8,$750K-$1.5M,Owner,Medical Director,N/A,N/A,https://charlotte.hydratemedical.com/
Heritage Regenerative Medicine,Charlotte,NC,Charlotte,IV Therapy Clinics,8,$750K-$1.5M,Dr. John Stavrakos,Medical Director,N/A,N/A,https://heritagen.com/
Eden MedSpa,Charlotte,NC,Charlotte,IV Therapy Clinics,7,$500K-$1M,Dr. Obinna Oriaku,Owner,N/A,N/A,https://www.myedenmedspa.com/
Liquivida Dallas,Dallas,TX,Dallas,IV Therapy Clinics,8,$750K-$1.5M,Rebecca,Owner/NP,N/A,N/A,https://www.liquivida.com/dallas
Nuuvo Health,Dallas,TX,Dallas,IV Therapy Clinics,6,$500K-$1M,Owner,Medical Director,N/A,N/A,https://nuuvohealth.com/
Viva IV Therapy,Scottsdale,AZ,Phoenix,IV Therapy Clinics,6,$500K-$1M,Jerome Cordova,Owner/Medical Director,N/A,N/A,https://vivatherapy.com/
IV and Me,Phoenix,AZ,Phoenix,IV Therapy Clinics,5,$400K-$800K,Owner,Medical Director,N/A,N/A,https://azivandme.com/
IV League Hydration,Boston,MA,Boston,IV Therapy Clinics,6,$500K-$1M,Courtney Jones,Founder/Owner (RN),N/A,N/A,https://ivleaguehydrate.com/
Boston Direct Health,Boston,MA,Boston,IV Therapy Clinics,5,$400K-$800K,Steve Zivich MD,Owner/Medical Director,N/A,N/A,https://bostondirecthealth.com/
Replenish Nashville,Nashville,TN,Nashville,IV Therapy Clinics,5,$400K-$800K,Owner,Owner/NP,N/A,N/A,https://www.replenishnashville.com/
IntraVenous Solutions,Nashville,TN,Nashville,IV Therapy Clinics,6,$500K-$1M,Owner,Owner,N/A,N/A,https://www.ivsolns.com/
Maxwell Clinic,Nashville,TN,Nashville,IV Therapy Clinics,12,$1M-$2M,David Haase MD,Founder/Medical Director,N/A,N/A,https://maxwellclinic.com/
Vital IV Therapy,San Francisco,CA,San Francisco Bay Area,IV Therapy Clinics,5,$400K-$800K,Owner,Medical Director,N/A,N/A,https://vitalivtherapy.com/
B12 LOVE,San Francisco,CA,San Francisco Bay Area,IV Therapy Clinics,8,$750K-$1.5M,Owner,Founder,N/A,N/A,https://www.b12love.com/
Nashville Fertility Center,Nashville,TN,Nashville,Fertility Clinics,15,$3M-$5M,Dr. George A. Hill,Founder,N/A,N/A,https://www.nashvillefertility.com/
OC Fertility + OC Biogenix,Newport Beach,CA,Orange County,Fertility Clinics,12,$2M-$4M,Owner,Founder (Women-Owned),N/A,N/A,https://www.ocfertility.com/
Ember Fertility Center,Laguna Hills,CA,Orange County,Fertility Clinics,10,$2M-$4M,Owner,Medical Director,N/A,N/A,https://emberfertility.com/
Coastal Fertility,Irvine,CA,Orange County,Fertility Clinics,8,$1.5M-$3M,Owner,Medical Director,N/A,N/A,https://coastalfertility.com/
Southern California Center for Reproductive Medicine,Orange County,CA,Orange County,Fertility Clinics,10,$2M-$4M,Dr. Robert Anderson,Founder/Medical Director,N/A,N/A,https://www.socalfertility.com/
Houston Fertility Center,Houston,TX,Houston,Fertility Clinics,10,$2M-$4M,Dr. Sonja Kristiansen,Founder/Medical Director,N/A,N/A,https://www.infertilityivfhouston.com/
New Hope Fertility Institute of Texas,Houston,TX,Houston,Fertility Clinics,8,$1.5M-$3M,Dr. Subodh Chauhan,Owner/Medical Director,N/A,N/A,https://subodhchauhanmd.com/
Inovi Fertility & Genetics Institute,Houston,TX,Houston,Fertility Clinics,7,$1.5M-$3M,Owner,Medical Director,N/A,N/A,https://www.inovifertility.com/
Advanced Fertility Center of Texas,Houston,TX,Houston,Fertility Clinics,10,$2M-$4M,Owner,Medical Director,N/A,N/A,https://www.infertilityanswers.com/
Denver Fertility Care,Englewood,CO,Denver,Fertility Clinics,8,$1.5M-$3M,Dr. Dana Ambler,Medical Director,N/A,N/A,https://www.denverfertilitycare.com/
Vera Health and Fertility,Denver,CO,Denver,Fertility Clinics,6,$1M-$2M,Owner,Founder,N/A,N/A,https://verafertility.com/
Los Angeles Reproductive Center,Encino,CA,Los Angeles,Fertility Clinics,10,$2M-$4M,Dr. Nurit Winkler,Co-Founder,N/A,N/A,https://www.losangelesreproductivecenter.com/
Tree of Life Fertility Center,Los Angeles,CA,Los Angeles,Fertility Clinics,8,$1.5M-$3M,Owner,Medical Director,N/A,N/A,https://www.tlcfertility.com/
The Center for Fertility and Gynecology,Tarzana,CA,Los Angeles,Fertility Clinics,12,$2M-$4M,Dr. Michael Vermesh,Founder,N/A,N/A,https://www.center4fertility.com/
Beverly Hills Fertility,Los Angeles,CA,Los Angeles,Fertility Clinics,8,$1.5M-$3M,Dr. Ellen Goldstein,Co-Founder,N/A,N/A,https://beverlyfertility.com/
Chicago Sleep Health,Chicago,IL,Chicago,Sleep Clinics,5,$400K-$800K,Dr. Margaret Park,Owner,N/A,N/A,https://www.yelp.com/biz/chicago-sleep-health-chicago
The Center for Sleep Medicine,Chicago,IL,Chicago,Sleep Clinics,15,$2M-$4M,Owner,Medical Director,(312) 587-3765,N/A,https://www.sleepmedcenter.com/
Sleep & Oral Wellness,Dallas,TX,Dallas,Sleep Clinics,6,$500K-$1M,Dr. Anshu Bansal,Owner,N/A,N/A,https://sleepandoralwellness.org/
Sleep Medicine Consultants of North Texas,Dallas,TX,Dallas,Sleep Clinics,8,$750K-$1.5M,Dr. Nabeel Farah,Founder,N/A,N/A,https://ntxsleep.com/
Medical Sleep Solutions,Dallas,TX,Dallas,Sleep Clinics,10,$1M-$2M,Owner,Medical Director,N/A,N/A,https://www.medicalsleep.com/
The Insomnia and Sleep Institute of Arizona,Phoenix,AZ,Phoenix,Sleep Clinics,12,$1.5M-$3M,Dr. Ruchir P. Patel,Founder,N/A,N/A,https://sleeplessinarizona.com/
