company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title,phone,email,website
Crawford Door Sales of Nashville,Nashville,TN,Nashville,Garage Door Service,12,$1.5M-$3M,Owner,Owner,N/A,N/A,https://www.crawforddoors.net/
Tricounty Garage Door,Nashville,TN,Nashville,Garage Door Service,8,$800K-$1.5M,Owner,Owner,N/A,N/A,https://www.tricountydoorsnashville.com/
Iron Raven Garage Door,Nashville,TN,Nashville,Garage Door Service,6,$500K-$1M,Keyon Dillon,Owner,N/A,N/A,N/A
Rose Quality Garage Doors,Murfreesboro,TN,Nashville,Garage Door Service,10,$1M-$2M,Owner,Owner,N/A,N/A,https://rosequalitygaragedoors.com/
Robert's Garage Door Professionals,Chicago,IL,Chicago,Garage Door Service,8,$800K-$1.5M,Benjamin F.,Owner,N/A,N/A,https://robertsgaragedoors.com/
Garage Door Co Repair Pros,Skokie,IL,Chicago,Garage Door Service,6,$500K-$1M,Brad Hershey,Owner,N/A,N/A,https://www.gdcorp.com/
AR-BE Garage Doors,Chicago,IL,Chicago,Garage Door Service,15,$2M-$4M,Owner,Owner,N/A,N/A,https://ar-be.com/
O'Brien Garage Doors,Chicago,IL,Chicago,Garage Door Service,10,$1M-$2M,Owner,Owner,N/A,N/A,https://www.obriendoorchicago.com/
New York Garage Doors,New York,NY,New York City,Garage Door Service,10,$1M-$2.5M,Owner,Owner,N/A,N/A,https://www.nygaragedoors.com/
D&D Doors,Hudson Valley,NY,New York City,Garage Door Service,8,$800K-$1.5M,Don Wilson,Owner,N/A,N/A,https://dandddoors.com/
Door Boy,Northern NJ,NJ,Northern New Jersey,Garage Door Service,12,$1.5M-$3M,Owner,Owner,N/A,N/A,https://www.doorboy.com/
Door Works Inc.,Northern NJ,NJ,Northern New Jersey,Garage Door Service,10,$1M-$2M,Owner,Owner,N/A,N/A,https://doorworks.com/
ArmRLite,Northern NJ,NJ,Northern New Jersey,Garage Door Service,15,$2M-$4M,Shannon McGrady,President,N/A,N/A,https://armrlite.com/
Ohana Garage Door Repair,Houston,TX,Houston,Garage Door Service,8,$800K-$1.5M,Owner,Owner,N/A,N/A,https://ohanagaragedoorrepair.com/
Henderson Garage Door Services,Houston,TX,Houston,Garage Door Service,10,$1M-$2M,Owner,Owner,N/A,N/A,https://hendersongaragedoor.com/
Preferred Doors LLC,Houston,TX,Houston,Garage Door Service,8,$800K-$1.5M,Owner,Owner,N/A,N/A,https://preferreddoorservice.com/
Spectrum Overhead Door,Houston,TX,Houston,Garage Door Service,7,$600K-$1.2M,Owner,Owner,N/A,N/A,https://spectrumoverheaddoor.com/
Door Pros San Diego,San Diego,CA,San Diego,Garage Door Service,8,$800K-$1.5M,Andrew Sunseri,Co-Founder,N/A,N/A,https://sandiegodoorpros.com/
Rockstar Garage Door Services,San Diego,CA,San Diego,Garage Door Service,6,$500K-$1M,Owner,Owner,N/A,N/A,https://rsgaragedoorservices.com/
ADS Garage Doors,San Diego,CA,San Diego,Garage Door Service,12,$1.5M-$3M,Owner,Owner,N/A,N/A,https://www.automaticdoorspecialists.com/
AllGood Garage Door Company,Atlanta,GA,Atlanta,Garage Door Service,8,$800K-$1.5M,Trever,Co-Owner,N/A,N/A,https://allgoodgaragedoor.com/
National Garage Door of Atlanta,Atlanta,GA,Atlanta,Garage Door Service,10,$1M-$2M,Owner,Owner,N/A,N/A,https://nationalgaragedooratlanta.com/
AG Appliance Service,Miami,FL,Miami,Appliance Repair,8,$600K-$1.2M,A. Gonzalez,Owner,N/A,N/A,https://agappliances.com/
Miami Appliance Repair,Miami,FL,Miami,Appliance Repair,5,$400K-$800K,Matt,Owner,N/A,N/A,https://miamiappliancerepairman.com/
1 Hour Appliance Repair,Miami Beach,FL,Miami,Appliance Repair,6,$500K-$1M,Owner,Owner,N/A,N/A,https://1hrappliancerepair.com/
Fifth Avenue Appliance Service,New York,NY,New York City,Appliance Repair,8,$800K-$1.5M,Owner,Owner,N/A,N/A,N/A
RD Appliance Service Corp.,Long Island,NY,New York City,Appliance Repair,10,$1M-$2M,Owner,Owner,N/A,N/A,https://www.rdapplianceservice.com/
AAA Appliance Service & Repair,New York,NY,New York City,Appliance Repair,6,$500K-$1M,Paul,Owner,N/A,N/A,https://aaaappliance.com/
A & A Appliance Repair,Houston,TX,Houston,Appliance Repair,7,$600K-$1.2M,Owner,Owner,N/A,N/A,https://www.aandaappliancerepairs.com/
PAR Premier Appliance Repair,Houston,TX,Houston,Appliance Repair,8,$700K-$1.3M,Owner,Owner,N/A,N/A,https://parhouston.com/
GM Appliance Service,Houston,TX,Houston,Appliance Repair,6,$500K-$1M,Owner,Owner,N/A,N/A,https://www.gmappliancerepairhouston.com/
Second City Appliance Repair,Chicago,IL,Chicago,Appliance Repair,6,$500K-$1M,Bobby Diakakis,Owner,N/A,N/A,https://www.secondcityrepair.com/
Philadelphia Appliance Repair,Philadelphia,PA,Philadelphia,Appliance Repair,5,$400K-$800K,Tariq,Owner,N/A,N/A,https://phillyappliancesrepair.com/
Manton Appliance Service,Philadelphia,PA,Philadelphia,Appliance Repair,8,$700K-$1.3M,Owner,Owner,N/A,N/A,https://www.mantonservice.com/
Guinco Service,Fort Worth,TX,Dallas,Appliance Repair,12,$1.5M-$3M,Jeff Guinn,President/Owner,N/A,N/A,https://guinco.com/
North Dallas Appliance Repair,Richardson,TX,Dallas,Appliance Repair,6,$500K-$1M,Scott Glover,Owner,N/A,N/A,https://www.northdallasappliancerepair.com/
K & M Appliance,Dallas,TX,Dallas,Appliance Repair,5,$400K-$800K,Kelly Lewis,Owner,N/A,N/A,https://www.kmappliancerepair.com/
Ironman Pool Care,Phoenix,AZ,Phoenix,Pool Service,8,$700K-$1.3M,Tony,Owner,N/A,N/A,https://www.ironmanpoolcare.com/
Love Pool Company,Phoenix,AZ,Phoenix,Pool Service,6,$500K-$1M,Michael Love,Owner,N/A,N/A,https://www.lovepoolcare.com/
Thunderbird Pools,Phoenix,AZ,Phoenix,Pool Service,10,$1M-$2.5M,Cohl Workman,Co-Owner,N/A,N/A,https://www.thunderbirdpools.com/
Famous Pools,Phoenix,AZ,Phoenix,Pool Service,5,$400K-$800K,Tyler Ellenberger,CEO,N/A,N/A,N/A
LA Pool Guys,Los Angeles,CA,Los Angeles,Pool Service,8,$700K-$1.3M,Owner,Owner,N/A,N/A,https://lapoolguys.com/
Pool Sidekick,Los Angeles,CA,Los Angeles,Pool Service,6,$500K-$1M,Matt Lawson,Co-Owner,N/A,N/A,N/A
Thomas Pools,Los Angeles,CA,Los Angeles,Pool Service,12,$1.5M-$3M,Owner,Owner,N/A,N/A,https://thomaspools.us/
GL Pools,San Diego,CA,San Diego,Pool Service,10,$1M-$2M,Austin Gardiner,Founder,N/A,N/A,https://glpools.com/
Cherry Pool Services,San Diego,CA,San Diego,Pool Service,8,$800K-$1.5M,Glenn Cherry,Founder,N/A,N/A,https://cherrypoolservices.com/
Next Level Pool Service,San Diego,CA,San Diego,Pool Service,6,$500K-$1M,Owner,Owner,N/A,N/A,https://nextlevelpoolservice.com/
Del Rancho Pools,San Diego,CA,San Diego,Pool Service,10,$1M-$2M,Owner,Owner,N/A,N/A,https://delranchopools.com/
Viking Pool Service,Tampa,FL,Tampa,Pool Service,8,$700K-$1.3M,Mark,Owner,N/A,N/A,https://vikingpoolservice.com/
Edge Pools,Tampa,FL,Tampa,Pool Service,7,$600K-$1.2M,Eddie Edgerton,Co-Owner,N/A,N/A,https://edgepoolsfl.com/
